time_stamp;pm2_5_atm
10/04/2021;6.10
10/04/2021;6.40
10/04/2021;6.50
10/04/2021;7.20
10/04/2021;8.70
10/04/2021;9.10
10/04/2021;10.10
10/04/2021;11.10
10/04/2021;12.00
10/04/2021;13.00
10/04/2021;13.20
10/04/2021;16.30
10/04/2021;13.40
10/04/2021;10.60
10/04/2021;23.00
10/04/2021;20.00
10/04/2021;19.50
10/04/2021;17.90
10/04/2021;10.80
11/04/2021;12.90
11/04/2021;9.60
11/04/2021;10.30
11/04/2021;10.90
11/04/2021;9.40
11/04/2021;9.80
11/04/2021;10.70
11/04/2021;10.50
11/04/2021;10.60
11/04/2021;22.60
11/04/2021;14.00
11/04/2021;12.50
11/04/2021;14.40
11/04/2021;15.20
11/04/2021;13.50
11/04/2021;15.50
11/04/2021;14.90
11/04/2021;12.90
11/04/2021;11.90
11/04/2021;11.50
11/04/2021;12.70
11/04/2021;14.70
11/04/2021;20.00
11/04/2021;19.50
12/04/2021;18.60
12/04/2021;21.00
12/04/2021;20.90
12/04/2021;14.30
12/04/2021;20.70
12/04/2021;13.40
12/04/2021;12.90
12/04/2021;13.20
12/04/2021;14.20
12/04/2021;18.10
12/04/2021;18.40
12/04/2021;19.40
12/04/2021;27.10
12/04/2021;20.70
12/04/2021;19.70
12/04/2021;18.00
12/04/2021;15.70
12/04/2021;13.70
12/04/2021;13.20
12/04/2021;12.20
12/04/2021;10.70
12/04/2021;10.10
12/04/2021;10.90
12/04/2021;12.50
13/04/2021;15.00
13/04/2021;18.20
13/04/2021;21.10
13/04/2021;18.30
13/04/2021;16.10
13/04/2021;15.50
13/04/2021;14.70
13/04/2021;13.60
13/04/2021;13.40
13/04/2021;13.80
13/04/2021;13.60
13/04/2021;12.30
13/04/2021;12.90
13/04/2021;10.80
13/04/2021;10.80
13/04/2021;17.20
13/04/2021;12.90
13/04/2021;9.10
13/04/2021;8.30
13/04/2021;8.50
13/04/2021;8.00
13/04/2021;9.00
13/04/2021;11.00
13/04/2021;13.50
14/04/2021;10.80
14/04/2021;12.50
14/04/2021;11.90
14/04/2021;11.90
14/04/2021;12.20
14/04/2021;14.80
14/04/2021;14.90
14/04/2021;15.00
14/04/2021;15.70
14/04/2021;15.80
14/04/2021;15.30
14/04/2021;15.70
14/04/2021;18.30
14/04/2021;15.10
14/04/2021;12.40
14/04/2021;14.10
14/04/2021;13.50
14/04/2021;12.10
14/04/2021;11.80
14/04/2021;10.90
14/04/2021;9.30
14/04/2021;7.80
14/04/2021;8.80
14/04/2021;10.70
15/04/2021;14.20
15/04/2021;12.70
15/04/2021;12.00
15/04/2021;12.10
15/04/2021;11.80
15/04/2021;11.80
15/04/2021;13.10
15/04/2021;15.50
15/04/2021;18.30
15/04/2021;20.90
15/04/2021;19.20
15/04/2021;16.70
15/04/2021;19.40
15/04/2021;16.70
15/04/2021;18.20
15/04/2021;18.20
15/04/2021;18.20
15/04/2021;19.50
15/04/2021;15.80
15/04/2021;16.40
15/04/2021;17.10
